Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code,Cuisine
I8U2B8O3uXhhXYhRrOH_Xg,The OX Tavern,1301 Newkirk Ave,"{'latitude': 40.63489, 'longitude': -73.96497}",520,4,11230,american
qLLxS7RwNEjP_jq_KQrPfA,Traif,229 S 4th St,"{'latitude': 40.710658, 'longitude': -73.958872}",1882,4.5,11211,american
RemvTpxalDjSew5HwmNzUQ,The Dead Rabbit,30 Water St,"{'latitude': 40.70329, 'longitude': -74.01102}",1571,4,10004,american
ooYUO3Pq_qypc1NXFzeLYQ,City Vineyard,233 West St,"{'latitude': 40.7205582, 'longitude': -74.0118093}",950,4,10013,american
ULt3kmA0_hbZ3j6cMORCaA,Root & Bone,200 E 3rd St,"{'latitude': 40.7228079872831, 'longitude': -73.9833535829059}",1625,4,10009,american
UXVDyIzmO5kmJnlv-HDXLg,Cafeteria,119 7th Ave,"{'latitude': 40.740567590122, 'longitude': -73.9980747946}",3352,3.5,10011,american
zX8IF7oCbw1HrNaPmOBy-g,FERNS,166 1st Ave,"{'latitude': 40.72881, 'longitude': -73.98403}",96,4.5,10009,american
Y7cKrhINvxMtYGh5I_V60g,Press 195 - Bayside,4011 Bell Blvd,"{'latitude': 40.763961, 'longitude': -73.770781}",950,4,11361,american
Cz6It2NB_QBXCjnlsWGZSA,Boulton & Watt,5 Ave A,"{'latitude': 40.722520164329694, 'longitude': -73.98635991078673}",678,4,10009,american
zZpuUqF0iENnyYd2UYIX6w,Locksmith Bar,4463 Broadway,"{'latitude': 40.8573807, 'longitude': -73.9325659}",392,4,10040,american
6hKJePanmG9AxK4dfwgyyg,The Horny Ram,951 2nd Ave,"{'latitude': 40.75528, 'longitude': -73.96857}",513,4,10022,american
IBgjj5VBu5JJvKgo9EzKrg,The Three Monkeys,236 W 54th St,"{'latitude': 40.764164, 'longitude': -73.98306}",1181,4,10019,american
_EBQhV-UQ7NoV66uXYH0dw,Golden Diner,123 Madison St,"{'latitude': 40.71244, 'longitude': -73.994}",174,4.5,10002,american
Me4TxTbPPQZQopW1wOGx5g,Jack's Wife Freda,224 Lafayette St,"{'latitude': 40.72213, 'longitude': -73.99756}",1932,4,10012,american
3V20VbC45XL4TBYTL9DrOg,David's Cafe,110 St Marks Pl,"{'latitude': 40.7269310030458, 'longitude': -73.9843428879976}",205,4,10009,american
xR2Yeb_Nh0MOAiUIaqaVOg,Tavern 157,157-12 Northern Blvd,"{'latitude': 40.7634836392041, 'longitude': -73.807817278102}",404,4.5,11354,american
56nGFQ5PVuGErwcAR34QAw,Meadowsweet,149 Broadway,"{'latitude': 40.7103995, 'longitude': -73.9632384}",396,4,11211,american
qMHzIYzoHYe55I7L65iEQw,Foragers,233 8th Ave,"{'latitude': 40.744541, 'longitude': -73.9990926}",549,4,10011,american
owYYuyLvlsdjLz68c3SSfg,Taboonette,30 E 13th St,"{'latitude': 40.7346038818359, 'longitude': -73.9928283691406}",864,4.5,10003,american
01isnBO1rFO2LTOeNfYl9w,Hillstone Restaurant,378 Park Ave S,"{'latitude': 40.7427534, 'longitude': -73.9847308}",963,4,10010,american
oqeeOpA2S6U02nUGa8Ot7g,Alison,1651 Lexington Ave,"{'latitude': 40.7909561630924, 'longitude': -73.9469904452562}",58,4,10029,american
gC7QKqUe2wrxUTxL11ab1A,Gertie,357 Grand St,"{'latitude': 40.712389, 'longitude': -73.9555675}",84,4,11211,american
tsiC3VpO-hZEb98Qk3p-DQ,Amy Ruth's,113 W 116th St,"{'latitude': 40.80248, 'longitude': -73.95038}",2657,4,10026,american
u-MUL83NUy2gsbV80WZnAA,The Marshal,628 10th Ave,"{'latitude': 40.76122, 'longitude': -73.99396}",742,4,10036,american
mv8dMMzzrzalso3sYCP_QA,CAFÉ LULUc,214 Smith St,"{'latitude': 40.68451, 'longitude': -73.99225}",1431,4,11201,american
55spA8dSOvKRme3ix-k7gg,Westville West,210 W 10th St,"{'latitude': 40.7340046, 'longitude': -74.0041863}",925,4,10014,american
PYmjoid5P-Mw8dkkKxZy6w,Harvest Kitchen,269 Columbus Ave,"{'latitude': 40.777697, 'longitude': -73.978357}",141,4,10023,american
tHW3EwGwai1AiWQ6ZD-wjg,Industry Kitchen,70 South St,"{'latitude': 40.7049434740873, 'longitude': -74.0048825740814}",649,3.5,10005,american
nm5rcWNmfevNXLNQAITi5w,Clinton Hall,90 Washington St,"{'latitude': 40.70803, 'longitude': -74.014869}",672,3.5,10006,american
E8gpCgCVaO2hNEPTrh4n2A,The Ryerson,698 Nostrand Ave,"{'latitude': 40.67478, 'longitude': -73.95018}",69,4.5,11216,american
SjG7CnTIuUBIo9T4BThkGQ,Employees Only,510 Hudson St,"{'latitude': 40.73343, 'longitude': -74.00617}",1448,4,10014,american
zgW7g4RWssKfjdlSE8fZvg,Sweet Afton,30-09 34th St,"{'latitude': 40.765352, 'longitude': -73.918983}",1070,4,11103,american
9fydXI0fj2s-EmlF7vm8Og,Clay,553 Manhattan Ave,"{'latitude': 40.8094002234406, 'longitude': -73.9536950700793}",151,4.5,10027,american
XpYm_l-zKI3Rl4E8WODIDA,The Levee,212 Berry St,"{'latitude': 40.7163303847776, 'longitude': -73.9617204666138}",394,4,11211,american
