Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code,Cuisine
PGeL1b4xNJggpZsHEGoxjg,Mr Chow,121 Hudson St,"{'latitude': 40.7201045, 'longitude': -74.0087721}",390,3,10013,chinese
chinese,,,,,,,
QFOYvQK9y2jM7ue-DXkw2g,Family Garden,1709 Foster Ave,"{'latitude': 40.635335, 'longitude': -73.960987}",31,4,11230,chinese
chinese,,,,,,,
6oQKDCJrgDffPKXPTPBXlA,King Wah Restaurant,6417 Fresh Pond Rd,"{'latitude': 40.7099237520059, 'longitude': -73.8989976712028}",84,3.5,11385,chinese
chinese,,,,,,,
wqdFd3DZD_uTXRW784mFkg,A-Pou's Taste,963 Grand St,"{'latitude': 40.71326, 'longitude': -73.93616}",62,4.5,11211,chinese
chinese,,,,,,,
i68ePkcGmSimy2_OTDo5qQ,Happy Garden 813,513 6th Ave,"{'latitude': 40.73699, 'longitude': -73.99744}",4,5,10011,chinese
chinese,,,,,,,
3gqKLANaXNsHZnPDjKrcTg,Win Son,159 Graham Ave,"{'latitude': 40.70747, 'longitude': -73.94339}",504,4,11206,chinese
chinese,,,,,,,
qNMPfDIoPFGHmEHnJBnl1A,Public Village,23 Essex St N,"{'latitude': 40.715441, 'longitude': -73.99006}",30,4.5,10002,chinese
chinese,,,,,,,
zPK48x2wvTmJTQ_13bbeRQ,Hong Kong Cafe,357 Franklin Ave,"{'latitude': 40.687267, 'longitude': -73.95667}",37,4,11238,chinese
chinese,,,,,,,
ojbH3wnRu050hRhkmoxRiA,Han Dynasty,215 W 85th St,"{'latitude': 40.78752, 'longitude': -73.97647}",616,4,10024,chinese
chinese,,,,,,,
mUl0wtO7tPkBocuJqZ-7Dw,Dun Huang -  Grand Central,320 Lexington Ave,"{'latitude': 40.74922, 'longitude': -73.97785}",179,4.5,10016,chinese
chinese,,,,,,,
SBJHGtqJyfaU47NPjGAU6A,China Jade,1643 2nd Ave,"{'latitude': 40.777392, 'longitude': -73.952329}",167,3.5,10028,chinese
chinese,,,,,,,
zdX9mwhoknXXYL1GCstnow,Lucky Garden,305L Wyckoff Ave,"{'latitude': 40.7003, 'longitude': -73.91221}",13,4.5,11237,chinese
chinese,,,,,,,
6QXp37VraLy8rGIbG2-Tjw,Taste of China Brooklyn,430 4th Ave,"{'latitude': 40.67115, 'longitude': -73.98833}",9,5,11215,chinese
chinese,,,,,,,
CKG7LVmSlvI93scyb1aVeg,Mr Wonton,73 7th Ave,"{'latitude': 40.67517, 'longitude': -73.97481}",208,3.5,11217,chinese
chinese,,,,,,,
qFmyAqm0MQbdu_MHX1mhpQ,Oh Dumplings,6 Bergen St,"{'latitude': 40.6875754, 'longitude': -73.9929996}",85,4,11201,chinese
chinese,,,,,,,
ZN2Z_ImFRxueRhNUSoCbWw,Panda Chinese Restaurant,23 Catherine St,"{'latitude': 40.712931, 'longitude': -73.996904}",2,5,10038,chinese
chinese,,,,,,,
LXmlfAmrGA3NfvYSfxIVvQ,Ma LaLa,42-02 30th Ave,"{'latitude': 40.7629662660109, 'longitude': -73.913354203105}",64,4.5,11103,chinese
chinese,,,,,,,
Qsc2DrX3IR-uGfwnUlOzcA,Lotus Express,4840 Broadway,"{'latitude': 40.8662643432617, 'longitude': -73.9245986938477}",71,4,10034,chinese
chinese,,,,,,,
dDXtga5Kgo5B1twdezcZJA,Auntie Guan's Kitchen 108,108 W 14th St,"{'latitude': 40.7377213477598, 'longitude': -73.9974148512518}",345,3.5,10011,chinese
chinese,,,,,,,
v5884XYNUh4yXbhAhvL9hg,Nightmarket,130 1st Ave,"{'latitude': 40.72737, 'longitude': -73.98525}",69,4.5,10009,chinese
chinese,,,,,,,
LJntAPKObO0OfydYm3_bzQ,Kings Co Imperial,168 1/2 Delancey St,"{'latitude': 40.7180159, 'longitude': -73.9853739}",73,4,10002,chinese
chinese,,,,,,,
1dFOF1HPaThSCsdiqR7DrA,Land of Plenty,204E 58th St,"{'latitude': 40.76063, 'longitude': -73.96664}",325,3.5,10022,chinese
chinese,,,,,,,
UNyGz06_7RendbswIyNYtA,Shu Han Ju,465 6th Ave,"{'latitude': 40.73558, 'longitude': -73.99843}",174,3.5,10011,chinese
chinese,,,,,,,
i4cyV13lYIS4mcJKZW75cA,Food Sing,172 Grand St,"{'latitude': 40.714324, 'longitude': -73.961257}",53,3.5,11211,chinese
chinese,,,,,,,
zYoL-o9YJpGTwJ-Gmj8AFA,Jue Lan Club,49 W 20th St,"{'latitude': 40.7409694, 'longitude': -73.9934031}",502,3.5,10011,chinese
chinese,,,,,,,
k_y6o8zqI3cODdKABwWZ9g,China Garden,133 Irving Ave,"{'latitude': 40.703364, 'longitude': -73.921517}",14,4.5,11237,chinese
chinese,,,,,,,
tsTGTBrz2TqrYRgdr6vEJQ,C And Y Chinese,399 5th Ave,"{'latitude': 40.67042, 'longitude': -73.98496}",59,4,11215,chinese
chinese,,,,,,,
d_TC6Om2EBTzHVm_lCgNtg,Great NY Noodle Town,28 Bowery,"{'latitude': 40.7150363828814, 'longitude': -73.9971172437072}",1338,3.5,10013,chinese
chinese,,,,,,,
Aux2Mp7bGnF3S6h60ab3iQ,Yummy City,1557 Lexington Ave,"{'latitude': 40.7879244458184, 'longitude': -73.948986355818}",47,4.5,10029,chinese
chinese,,,,,,,
Bb0h5Rs8ugSM2CjulRhfBw,Spicy Moon East Village,328 E 6th St,"{'latitude': 40.72674, 'longitude': -73.98722}",356,4.5,10003,chinese
chinese,,,,,,,
NebgteFykeM1gwiVgPcCHw,The Handpulled Noodle,3600 Broadway,"{'latitude': 40.828384, 'longitude': -73.948674}",818,4,10031,chinese
chinese,,,,,,,
LT0yyLNM84EiJj9DL0rfHA,Hui Restaurant & Bar,314 E 70th St,"{'latitude': 40.76701, 'longitude': -73.95846}",171,4.5,10021,chinese
chinese,,,,,,,
kxv4jD_qXRPVrV0oPR7isQ,Yu Kitchen,2656 Broadway,"{'latitude': 40.79759, 'longitude': -73.9693099}",108,4.5,10025,chinese
chinese,,,,,,,
TzhAlljC_843JO7UDDUIaQ,The Tang - Upper West Side,920 Amsterdam Ave,"{'latitude': 40.80006, 'longitude': -73.96639}",216,4.5,10025,chinese
chinese,,,,,,,
lQ8Fzgji9qmgRXkFcvAsVQ,Chong Qing Xiao Mian,796 9th Ave,"{'latitude': 40.76513, 'longitude': -73.98753}",310,4,10019,chinese
chinese,,,,,,,
DjLxykRuP8OFtGtPPZpfdQ,Caridad China,108 Graham Ave,"{'latitude': 40.704952, 'longitude': -73.942577}",106,4,11206,chinese
chinese,,,,,,,
br6HJD_UZ_LSU36tBZGSuw,Tada Noodles,2323 Borden Ave,"{'latitude': 40.740157, 'longitude': -73.946535}",17,5,11101,chinese
chinese,,,,,,,
kueEZRLEaNVo6Cow3hf56Q,Nice Day Chinese,170 Bleecker St,"{'latitude': 40.72867, 'longitude': -74.0007}",8,4.5,10012,chinese
chinese,,,,,,,
AvTezlpt3GXTdSEnXbHP4w,Fatima's Halal Kitchen,25-25 Broadway,"{'latitude': 40.7631186084319, 'longitude': -73.9275405041124}",401,4,11106,chinese
chinese,,,,,,,
54om5q7V4anmIXw2PdNJbA,Chen's Buffet Bar,32 Cedar St,"{'latitude': 40.70712, 'longitude': -74.00845}",41,4,10038,chinese
chinese,,,,,,,
0vg2Z-HPwkyVVX613j2ysg,Peng's Noodle Folk,1659 1st Ave,"{'latitude': 40.77726, 'longitude': -73.94932}",456,4.5,10028,chinese
chinese,,,,,,,
tfMPbnQqJ1P1RIab-o6gtg,Kum Kau,465 Myrtle Ave,"{'latitude': 40.693573, 'longitude': -73.966702}",262,3,11205,chinese
chinese,,,,,,,
mRhPjOOf17Q-a8CwLbmBvA,Empire Express,319 9th St,"{'latitude': 40.66918, 'longitude': -73.98567}",45,4,11215,chinese
chinese,,,,,,,
FvsFSGzbmV56gqtYY4ZfQQ,La Mian Lounge,25-12 Broadway,"{'latitude': 40.7631278063422, 'longitude': -73.9279485723007}",71,4.5,11106,chinese
chinese,,,,,,,
C3tP0fNNAoxOAC3O406CXQ,Le Sia,651 9th Ave,"{'latitude': 40.76072, 'longitude': -73.99119}",44,4,10036,chinese
chinese,,,,,,,
kwGaeWUVC_MIxMFw0sM-Ww,Hong Kong Express,989 Wyckoff Ave,"{'latitude': 40.69617, 'longitude': -73.904721}",47,4,11385,chinese
chinese,,,,,,,
C6NvtFvXo86_kEWi3qBYWQ,Golden Dragon,3406 31st Ave,"{'latitude': 40.76287, 'longitude': -73.92097}",79,3.5,11106,chinese
chinese,,,,,,,
s25mujxKWphsyFm0Ji1xYA,Mr Chow,324 E 57th St,"{'latitude': 40.7588502019644, 'longitude': -73.9643376320601}",365,3,10022,chinese
chinese,,,,,,,
FfUc69vNKeTkGqdpnq0giQ,Fansway Teriyaki Kitchen,1513A Myrtle Ave,"{'latitude': 40.6992860185837, 'longitude': -73.9152270555496}",22,4.5,11237,chinese
chinese,,,,,,,
ubeG-hyIV8qoSSAk_pAZ2A,No Pork Halal Kitchen,50 4th Ave,"{'latitude': 40.68332, 'longitude': -73.97936}",131,4,11217,chinese
chinese,,,,,,,
bT4CDzyhV-frXV6ijvXnvw,Super Taste,26 Eldridge St,"{'latitude': 40.715117, 'longitude': -73.9933339}",570,4,10002,chinese
chinese,,,,,,,
SVJNB9LqI13jtVyKMZVqeg,Uncle Ted's Modern Chinese Cuisine,163 Bleecker St,"{'latitude': 40.72882, 'longitude': -73.999961}",467,3.5,10012,chinese
chinese,,,,,,,
kBZggrnSP1kcUMnsnfkTaQ,Nan Xiang Xiao Long Bao,39-16 Prince St,"{'latitude': 40.75924, 'longitude': -73.8326}",3669,4,11354,chinese
chinese,,,,,,,
IoAUbSudW1Mds5_XY_01Rg,Mission - Brooklyn,599 Johnson Ave,"{'latitude': 40.70933, 'longitude': -73.92315}",73,3.5,11237,chinese
chinese,,,,,,,
WIj12zDqIbBucW1hXYhrew,King's Kitchen,92 E Broadway,"{'latitude': 40.71399, 'longitude': -73.99367}",278,4,10002,chinese
chinese,,,,,,,
7erFgHiQmw7ZJfVPmOjeeA,M Shanghai Bistro & Garden,292 Grand St,"{'latitude': 40.71293, 'longitude': -73.95757}",430,3.5,11211,chinese
chinese,,,,,,,
zrV2yUsz1SxymeH51iRBRw,Chuan Tian Xia 川天下,5502 7th Ave,"{'latitude': 40.6397, 'longitude': -74.009131}",168,4.5,11220,chinese
chinese,,,,,,,
4NCvsUR3cKLaPgIZJK622w,Chang Hong Chinese Restaurant,409 Irving Ave,"{'latitude': 40.696949, 'longitude': -73.910232}",12,4,11237,chinese
chinese,,,,,,,
v2dtG37r1ThqtfEfiFsAUg,Shanghai Mong,30 W 32nd St,"{'latitude': 40.7476119995117, 'longitude': -73.9871597290039}",552,3,10001,chinese
chinese,,,,,,,
3Qpi419I29t3sCHMzC_h-g,Harvest Chinese & Thai Cuisine,1502 1st Ave,"{'latitude': 40.7718201, 'longitude': -73.9526672}",94,3.5,10075,chinese
chinese,,,,,,,
56wxE888GknVcUeAXBfqFw,Shanghai Lee,157 Franklin St,"{'latitude': 40.7318, 'longitude': -73.9582099}",130,3,11222,chinese
chinese,,,,,,,
k34VgKhpuIRPEr8vKSMwjA,Chung Chun Kitchen,338 Myrtle Ave,"{'latitude': 40.69314, 'longitude': -73.973}",25,3.5,11205,chinese
chinese,,,,,,,
0GftSP2dRwEzujkv2VKIgA,Wok Wok Southeast Asian Kitchen,11 Mott St,"{'latitude': 40.7140555, 'longitude': -73.9988387116394}",992,4,10013,chinese
chinese,,,,,,,
Vzx-7-jSEBz2g8NuGVhHvQ,Philippe By Philippe Chow,33 E 60th St,"{'latitude': 40.76409, 'longitude': -73.97039}",712,3.5,10065,chinese
chinese,,,,,,,
1fVp9c5Vw04ig171a_juRw,U Like,602 Marcy Ave,"{'latitude': 40.694007, 'longitude': -73.949259}",50,4,11206,chinese
chinese,,,,,,,
pMD9ZQcyKfD6N2zb0kiR2A,Hardee's,209 Utica Ave,"{'latitude': 40.6716833260603, 'longitude': -73.9305902612873}",40,4,11213,chinese
chinese,,,,,,,
R7EGjHWw0tNheY6-ahH8fQ,Tuome,536 E 5th St,"{'latitude': 40.72412482724, 'longitude': -73.9828906263924}",511,4.5,10009,chinese
chinese,,,,,,,
