Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
R18bhjYmKxpwfkwGFlWW2g,Hanbat Restaurant,53 W 35th St,"{'latitude': 40.75015, 'longitude': -73.9863}",497,3.5,10001
Op43gk4VHEhENJGs-FKi3g,Garlic To the Chicken,66-92 Forest Ave,"{'latitude': 40.7049523, 'longitude': -73.9022751}",94,4.5,11385
LSTcQPMmoSdd68zur-aNdw,Itaewon Pocha,28 W 32nd St,"{'latitude': 40.7475125111924, 'longitude': -73.9867554408843}",113,4.5,10001
jjDsVuD7KbxnYV4jFnyftA,LOVE Korean BBQ,319 5th Ave,"{'latitude': 40.747118, 'longitude': -73.985056}",136,4.0,10016
c_Kellz-oODKoNpcRbV24w,MONOMONO,116 E 4th St,"{'latitude': 40.72549, 'longitude': -73.98803}",483,4.0,10003
RwT7wGzZzaMypW5mjNaNNA,Bonchon Willoughby St,68 Willoughby St,"{'latitude': 40.692088, 'longitude': -73.98593}",112,3.5,11201
oI3WqyqyP5OGtgGF-7qYCg,Memphis Seoul,569 Lincoln Pl,"{'latitude': 40.6716953, 'longitude': -73.9578342}",46,3.5,11238
_9Hjy0gZ5TJ8D_LfYkV_bA,Mad For Chicken - Sunnyside,43-22 Queens Blvd,"{'latitude': 40.743129, 'longitude': -73.920801}",38,4.0,11104
sU6Y89BxsYDqXyWVVk65qg,Eastern Kitchen,476 Sylvan Ave,"{'latitude': 40.8789908, 'longitude': -73.95217047268633}",2,5.0,07632
TzkFri9qw3g30GDC1q3-PA,Yupdduk Flushing,157-22 Northern Blvd,"{'latitude': 40.7637210499282, 'longitude': -73.8082498239232}",297,4.0,11354
pT5g_H68K25hMXUjQRwN4A,Chicken Insider,1752 2nd Ave,"{'latitude': 40.781226, 'longitude': -73.949085}",100,5.0,10128
w0lXJpm1m2P1Rj7qW1NhVA,Geo Si Gi,152-28 Northern Blvd,"{'latitude': 40.76458, 'longitude': -73.81202}",243,4.0,11354
GdjbCv2nD_V_MCjk0HAgnw,Jiku Wicked Wings & Korean Grub,1219 Church Ave,"{'latitude': 40.647755, 'longitude': -73.967833}",75,4.5,11218
LHWJQNYizZZp4khRKIXUHA,Bonjuk,152-26 Northern Blvd,"{'latitude': 40.7646, 'longitude': -73.8121}",164,4.0,11354
DgHEzcSBotbfxW-IJPAMuQ,Mill Korean,2895 Broadway,"{'latitude': 40.8060225608803, 'longitude': -73.9656521669528}",314,3.0,10025
yEpkPwO6uLfmzp1BMJBUFg,Hae Woon Dae,7532 Broadway,"{'latitude': 40.745693, 'longitude': -73.889588}",168,3.5,11373
KEBKGGGkDhnuYdKrjzZblw,Samwon Garden Korean BBQ,37 W 32nd St,"{'latitude': 40.74811, 'longitude': -73.9872}",474,4.0,10001
0zcgBHXbaJn0ZxgpcTJ1aQ,Nostrand Cafe,261 Nostrand Ave,"{'latitude': 40.68978, 'longitude': -73.951142}",111,4.5,11216
GDHm-QyjlGEC_gg6pV7mZg,Bulbap Grill,31 Wyckoff Ave,"{'latitude': 40.706499, 'longitude': -73.922293}",10,5.0,11237
cqaEC8brOh7P2OLT_r2xNg,The Coop,133-42 39th Ave,"{'latitude': 40.7592888, 'longitude': -73.8326492}",886,4.0,11354
SJ82Jd2eJxtu3oCj91sqPA,Sodam,156-50 Northern Blvd,"{'latitude': 40.763658, 'longitude': -73.808391}",203,4.0,11354
SJ82Jd2eJxtu3oCj91sqPA,Sodam,156-50 Northern Blvd,"{'latitude': 40.763658, 'longitude': -73.808391}",203,4.0,11354
iIWMaISFp4K50oHFfq2Oxw,The Cast Iron Pot,356 Bergen Blvd,"{'latitude': 40.82128, 'longitude': -73.99911}",748,4.5,07022
VbUy299ch56p4GYZTNDbvA,New Wonjo Restaurant,23 W 32nd St,"{'latitude': 40.74788, 'longitude': -73.98665}",1367,3.5,10001
XXD9wgu9ns4_BFKubKJ5eQ,kini,42-27 35th Ave,"{'latitude': 40.754228511044204, 'longitude': -73.9197653}",111,4.0,11101
